,Player,Season,GP,W,Sv%,GAA,Age
348,Bob Mason,19831984,2,2,0.935,1.5,22
349,Bob Mason,19841985,12,8,0.893,2.82,23
350,Bob Mason,19851986,1,1,1.0,0.0,24
351,Bob Mason,19861987,45,20,0.89,3.25,25
352,Bob Mason,19871988,41,13,0.882,4.16,26
353,Bob Mason,19881989,22,5,0.853,4.72,27
354,Bob Mason,19891990,16,4,0.875,3.5,28
355,Bob Mason,19901991,6,2,0.846,4.92,29
356,Bob Perreault,19551956,6,3,0.931,2.0,24
357,Bob Perreault,19581959,3,2,0.957,3.0,27
358,Bob Perreault,19621963,22,3,0.893,3.83,31
359,Bob Ring,19651966,1,0,0.81,7.24,19
360,Bob Sauve,19761977,4,1,0.845,3.62,21
361,Bob Sauve,19771978,11,6,0.911,2.51,22
362,Bob Sauve,19781979,29,10,0.876,3.73,23
363,Bob Sauve,19791980,32,20,0.901,2.36,24
364,Bob Sauve,19801981,35,16,0.88,3.18,25
365,Bob Sauve,19811982,55,17,0.857,3.85,26
366,Bob Sauve,19821983,54,25,0.871,3.46,27
367,Bob Sauve,19831984,40,22,0.868,3.49,28
368,Bob Sauve,19841985,27,13,0.855,3.23,29
369,Bob Sauve,19851986,38,19,0.886,3.96,30
370,Bob Sauve,19861987,46,19,0.894,3.6,31
371,Bob Sauve,19871988,34,10,0.87,3.57,32
372,Bob Sauve,19881989,15,4,0.831,4.66,33
373,Bob Sneddon,19701971,7,0,0.835,5.63,26
374,Bobby Taylor,19711972,6,1,0.917,3.0,26
375,Bobby Taylor,19721973,23,8,0.888,4.1,27
376,Bobby Taylor,19731974,7,3,0.872,4.26,28
377,Bobby Taylor,19741975,3,0,0.814,6.52,29
378,Bobby Taylor,19751976,6,3,0.873,4.16,30
379,Brad Thiessen,20112012,5,3,0.858,3.72,25
380,Braden Holtby,20102011,14,10,0.934,1.79,21
381,Braden Holtby,20112012,7,4,0.922,2.5,22
382,Braden Holtby,20122013,36,23,0.92,2.58,23
383,Braden Holtby,20132014,48,23,0.915,2.85,24
384,Braden Holtby,20142015,73,41,0.923,2.22,25
385,Braden Holtby,20152016,66,48,0.922,2.2,26
386,Braden Holtby,20162017,63,42,0.925,2.07,27
387,Braden Holtby,20172018,54,34,0.907,2.99,28
388,Braden Holtby,20182019,59,32,0.911,2.82,29
389,Braden Holtby,20192020,48,25,0.897,3.11,30
390,Braden Holtby,20202021,21,7,0.889,3.67,31
391,Brandon Halverson,20172018,1,0,0.833,4.78,21
392,Brent Johnson,19981999,6,3,0.921,2.1,21
393,Brent Johnson,20002001,31,19,0.907,2.17,23
394,Brent Johnson,20012002,58,34,0.902,2.18,24
395,Brent Johnson,20022003,38,16,0.9,2.47,25
396,Brent Johnson,20032004,18,5,0.908,2.51,26
397,Brent Johnson,20052006,26,9,0.905,3.44,28
398,Brent Johnson,20062007,30,6,0.889,3.61,29
399,Brent Johnson,20072008,19,7,0.908,2.67,30
400,Brent Johnson,20082009,21,12,0.908,2.81,31
401,Brent Johnson,20092010,23,10,0.906,2.76,32
402,Brent Johnson,20102011,23,13,0.922,2.17,33
403,Brent Johnson,20112012,16,6,0.883,3.11,34
404,Brent Krahn,20082009,1,0,0.667,9.0,26
405,Brian Boucher,19992000,35,20,0.918,1.91,22
406,Brian Boucher,20002001,27,8,0.876,3.27,23
407,Brian Boucher,20012002,41,18,0.905,2.41,24
408,Brian Boucher,20022003,45,15,0.894,3.02,25
409,Brian Boucher,20032004,40,10,0.906,2.74,26
410,Brian Boucher,20052006,14,4,0.871,4.15,28
411,Brian Boucher,20062007,18,2,0.882,3.34,29
412,Brian Boucher,20072008,5,3,0.932,1.76,30
413,Brian Boucher,20082009,22,12,0.917,2.18,31
414,Brian Boucher,20092010,33,9,0.899,2.76,32
415,Brian Boucher,20102011,34,18,0.916,2.42,33
416,Brian Boucher,20112012,10,1,0.881,3.4,34
417,Brian Boucher,20122013,4,0,0.891,2.5,35
418,Brian Eklund,20052006,1,0,0.842,3.09,25
419,Brian Elliott,20072008,1,1,0.966,1.01,22
420,Brian Elliott,20082009,31,16,0.902,2.77,23
421,Brian Elliott,20092010,55,29,0.909,2.57,24
422,Brian Elliott,20102011,55,15,0.893,3.34,25
423,Brian Elliott,20112012,38,23,0.94,1.56,26
424,Brian Elliott,20122013,24,14,0.907,2.28,27
425,Brian Elliott,20132014,31,18,0.922,1.96,28
426,Brian Elliott,20142015,46,26,0.917,2.26,29
427,Brian Elliott,20152016,42,23,0.93,2.07,30
428,Brian Elliott,20162017,49,26,0.91,2.55,31
429,Brian Elliott,20172018,43,23,0.909,2.66,32
430,Brian Elliott,20182019,26,11,0.907,2.96,33
431,Brian Elliott,20192020,31,16,0.899,2.87,34
432,Brian Elliott,20202021,30,15,0.889,3.06,35
433,Brian Finley,20022003,1,0,0.769,3.86,21
434,Brian Finley,20052006,1,0,0.829,7.0,24
435,Brian Finley,20062007,2,0,0.909,3.04,25
436,Brian Ford,19831984,3,1,0.814,6.34,22
437,Brian Ford,19841985,8,2,0.838,6.32,23
438,Brian Foster,20112012,1,0,1.0,0.0,24
439,Brian Hayward,19821983,24,10,0.887,3.73,22
440,Brian Hayward,19831984,28,7,0.855,4.87,23
441,Brian Hayward,19841985,61,33,0.876,3.83,24
442,Brian Hayward,19851986,52,13,0.843,4.8,25
443,Brian Hayward,19861987,37,19,0.893,2.82,26
444,Brian Hayward,19871988,39,22,0.896,2.86,27
445,Brian Hayward,19881989,36,20,0.887,2.9,28
446,Brian Hayward,19891990,29,10,0.878,3.37,29
447,Brian Hayward,19901991,26,6,0.886,3.14,30
448,Brian Hayward,19911992,7,1,0.859,4.92,31
449,Brian Hayward,19921993,18,2,0.846,5.55,32
450,Bruce Bullock,19721973,14,3,0.857,4.79,23
451,Bruce Bullock,19741975,1,0,0.84,4.0,25
452,Bruce Bullock,19761977,1,0,0.769,6.77,27
453,Bruce Dowie,19831984,2,0,0.907,3.33,21
454,Bruce Gamble,19581959,3,0,0.894,3.67,20
455,Bruce Gamble,19601961,52,12,0.892,3.71,22
456,Bruce Gamble,19611962,28,6,0.879,4.32,23
457,Bruce Gamble,19651966,10,5,0.925,2.51,27
458,Bruce Gamble,19661967,23,5,0.9,3.4,28
459,Bruce Gamble,19671968,41,20,0.934,2.32,29
460,Bruce Gamble,19681969,61,28,0.914,2.81,30
461,Bruce Gamble,19691970,52,19,0.915,3.06,31
462,Bruce Gamble,19701971,34,9,0.889,3.71,32
463,Bruce Gamble,19711972,24,7,0.912,2.94,33
464,Bruce Hoffort,19891990,7,3,0.881,3.47,23
465,Bruce Hoffort,19901991,2,1,0.85,4.59,24
466,Bruce Racine,19951996,11,0,0.881,3.13,29
467,Byron Dafoe,19921993,1,0,,0.0,21
468,Byron Dafoe,19931994,5,2,0.871,3.39,22
469,Byron Dafoe,19941995,4,1,0.863,3.53,23
470,Byron Dafoe,19951996,47,14,0.888,3.87,24
471,Byron Dafoe,19961997,40,13,0.905,3.11,25
472,Byron Dafoe,19971998,65,30,0.914,2.24,26
473,Byron Dafoe,19981999,68,32,0.926,1.99,27
474,Byron Dafoe,19992000,41,13,0.889,2.97,28
475,Byron Dafoe,20002001,45,22,0.906,2.39,29
476,Byron Dafoe,20012002,64,35,0.907,2.21,30
477,Byron Dafoe,20022003,17,5,0.862,4.36,31
478,Byron Dafoe,20032004,18,4,0.898,3.15,32
479,Cal Petersen,20182019,11,5,0.924,2.61,24
480,Cal Petersen,20192020,8,5,0.922,2.64,25
481,Cal Petersen,20202021,35,9,0.911,2.89,26
482,Calvin Heeter,20132014,1,0,0.868,4.69,25
483,Calvin Pickard,20142015,16,6,0.932,2.35,22
484,Calvin Pickard,20152016,20,7,0.922,2.56,23
485,Calvin Pickard,20162017,50,15,0.904,2.98,24
486,Calvin Pickard,20172018,1,0,0.857,3.83,25
487,Calvin Pickard,20182019,17,4,0.875,3.86,26
488,Calvin Pickard,20192020,3,0,0.797,5.46,27
489,Calvin Pickard,20202021,6,2,0.874,3.16,28
490,Cam Newton,19701971,5,1,0.86,3.44,20
491,Cam Newton,19721973,11,3,0.882,3.95,22
