,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
1426,Ron Tugnutt,20022003,DAL,L,31,29,15,10,5,--,672,602,70,0.896,2.47,1701:04,4,0,0,0,0,1967,ON,CAN,4,N,35
2845,Ron Tugnutt,20032004,DAL,L,11,9,3,7,0,--,220,198,22,0.9,2.41,547:38,1,0,0,0,0,1967,ON,CAN,4,N,36
3958,Ronald Loustel,19801981,WIN,L,1,1,0,1,0,--,51,41,10,0.804,10.0,60:00,0,0,0,0,0,1962,MB,CAN,6,N,18
1801,Ross Brooks,19721973,BOS,L,16,14,11,1,3,--,417,377,40,0.904,2.64,909:34,1,0,1,1,0,1937,ON,CAN,--,N,35
1286,Ross Brooks,19731974,BOS,L,21,19,16,3,0,--,556,510,46,0.917,2.36,1169:31,3,0,0,0,2,1937,ON,CAN,--,N,36
1952,Ross Brooks,19741975,BOS,L,17,16,10,3,3,--,415,367,48,0.884,2.98,965:35,0,0,0,0,0,1937,ON,CAN,--,N,37
3965,Ross McKay,19901991,HFD,L,1,0,0,0,0,--,15,12,3,0.8,5.17,34:47,0,0,0,0,0,1964,AB,CAN,--,N,26
1531,Roy Edwards,19671968,DET,R,41,38,14,17,5,--,"1,091",964,127,0.884,3.5,2174:38,0,0,0,0,0,1937,ON,CAN,--,N,30
1124,Roy Edwards,19681969,DET,R,40,34,18,11,6,--,"1,044",955,89,0.915,2.55,2097:57,4,0,0,0,0,1937,ON,CAN,--,N,31
650,Roy Edwards,19691970,DET,R,47,43,24,15,6,--,"1,364","1,248",116,0.915,2.6,2680:13,2,0,1,1,0,1937,ON,CAN,--,N,32
1824,Roy Edwards,19701971,DET,R,37,35,11,19,7,--,"1,109",990,119,0.893,3.4,2098:50,0,0,0,0,2,1937,ON,CAN,--,N,33
3017,Roy Edwards,19711972,PIT,R,15,14,2,8,4,--,386,350,36,0.907,2.55,846:00,0,0,1,1,0,1937,ON,CAN,--,N,34
491,Roy Edwards,19721973,DET,R,52,51,27,17,7,--,"1,374","1,242",132,0.904,2.64,3004:23,6,0,0,0,4,1937,ON,CAN,--,N,35
3813,Roy Edwards,19731974,DET,R,4,4,0,3,0,--,125,107,18,0.856,5.82,185:40,0,0,0,0,0,1937,ON,CAN,--,N,36
3716,Ryan Bach,19981999,LAK,L,3,1,0,3,0,--,66,58,8,0.879,4.45,107:46,0,0,0,0,0,1973,AB,CAN,11,N,25
2399,Ryan Miller,20022003,BUF,L,15,15,6,8,1,--,410,370,40,0.902,2.63,912:19,1,0,0,0,0,1980,MI,USA,5,N,22
3977,Ryan Miller,20032004,BUF,L,3,3,0,3,0,--,73,58,15,0.795,5.06,177:51,0,0,0,0,0,1980,MI,USA,5,N,23
346,Ryan Miller,20052006,BUF,L,48,48,30,14,--,3,"1,440","1,316",124,0.914,2.6,2861:50,1,0,2,2,0,1980,MI,USA,5,N,25
53,Ryan Miller,20062007,BUF,L,63,61,40,16,--,6,"1,886","1,718",168,0.911,2.73,3692:11,2,0,2,2,2,1980,MI,USA,5,N,26
138,Ryan Miller,20072008,BUF,L,76,75,36,27,--,10,"2,104","1,907",197,0.906,2.64,4474:18,3,0,1,1,6,1980,MI,USA,5,N,27
186,Ryan Miller,20082009,BUF,L,59,58,34,18,--,6,"1,773","1,628",145,0.918,2.53,3443:25,5,0,0,0,4,1980,MI,USA,5,N,28
34,Ryan Miller,20092010,BUF,L,69,68,41,18,--,8,"2,098","1,948",150,0.929,2.22,4047:23,5,0,0,0,4,1980,MI,USA,5,N,29
190,Ryan Miller,20102011,BUF,L,66,65,34,22,--,8,"1,964","1,799",165,0.916,2.59,3829:18,5,0,2,2,6,1980,MI,USA,5,N,30
300,Ryan Miller,20112012,BUF,L,61,60,31,21,--,7,"1,788","1,638",150,0.916,2.54,3536:25,6,0,0,0,0,1980,MI,USA,5,N,31
1201,Ryan Miller,20122013,BUF,L,40,39,17,17,--,5,"1,270","1,162",108,0.915,2.81,2302:14,0,0,0,0,2,1980,MI,USA,5,N,32
586,Ryan Miller,20132014,"BUF,STL",L,59,59,25,30,--,4,"1,885","1,731",154,0.918,2.64,3500:17,1,0,2,2,0,1980,MI,USA,5,N,33
392,Ryan Miller,20142015,VAN,L,45,45,29,15,--,1,"1,198","1,091",107,0.911,2.53,2541:31,6,0,0,0,0,1980,MI,USA,5,N,34
1199,Ryan Miller,20152016,VAN,L,51,51,17,24,--,9,"1,634","1,497",137,0.916,2.7,3043:29,1,0,1,1,2,1980,MI,USA,5,N,35
1128,Ryan Miller,20162017,VAN,L,54,54,18,29,--,6,"1,737","1,587",150,0.914,2.8,3211:51,3,0,1,1,22,1980,MI,USA,5,N,36
1664,Ryan Miller,20172018,ANA,L,28,21,12,6,--,6,739,686,53,0.928,2.35,1353:16,4,0,0,0,0,1980,MI,USA,5,N,37
2144,Ryan Miller,20182019,ANA,L,20,17,8,7,--,2,578,527,51,0.912,2.76,1108:48,1,0,0,0,0,1980,MI,USA,5,N,38
2024,Ryan Miller,20192020,ANA,L,23,19,9,6,--,4,685,621,64,0.907,3.1,1238:14,0,0,1,1,0,1980,MI,USA,5,N,39
2725,Ryan Miller,20202021,ANA,L,16,14,4,8,--,2,432,381,51,0.882,3.51,870:55,0,0,0,0,0,1980,MI,USA,5,N,40
2693,Sam Montembeault,20182019,FLA,L,11,10,4,3,--,2,282,252,30,0.894,3.04,591:24,0,0,1,1,0,1996,QC,CAN,3,N,22
2555,Sam Montembeault,20192020,FLA,L,14,9,5,5,--,1,356,317,39,0.89,3.34,700:45,0,0,0,0,0,1996,QC,CAN,3,N,23
3078,Sam St. Laurent,19851986,NJD,L,4,3,2,1,0,--,111,98,13,0.883,4.15,188:03,1,0,0,0,0,1959,QC,CAN,--,N,26
3353,Sam St. Laurent,19861987,DET,L,6,6,1,2,2,--,135,119,16,0.881,2.81,342:12,0,0,0,0,0,1959,QC,CAN,--,N,27
3058,Sam St. Laurent,19871988,DET,L,6,5,2,2,0,--,148,132,16,0.892,3.27,293:14,0,0,0,0,2,1959,QC,CAN,--,N,28
3632,Sam St. Laurent,19881989,DET,L,4,2,0,1,1,--,91,82,9,0.901,3.83,141:07,0,0,0,0,0,1959,QC,CAN,--,N,29
3083,Sam St. Laurent,19891990,DET,L,14,9,2,6,1,--,323,285,38,0.882,3.76,606:38,0,0,0,0,2,1959,QC,CAN,--,N,30
3599,Sami Aittokallio,20122013,COL,L,1,1,0,0,--,0,25,23,2,0.92,2.43,49:20,0,0,0,0,0,1992,--,FIN,4,N,20
3895,Sami Aittokallio,20132014,COL,L,1,1,0,1,--,0,18,15,3,0.833,4.5,40:00,0,0,0,0,0,1992,--,FIN,4,N,21
2577,Scott Bailey,19951996,BOS,L,11,8,5,1,2,--,264,233,31,0.883,3.26,570:57,0,0,0,0,0,1972,AB,CAN,5,N,23
3394,Scott Bailey,19961997,BOS,L,8,5,1,5,0,--,181,157,24,0.867,3.66,393:46,0,0,0,0,0,1972,AB,CAN,5,N,24
3968,Scott Clemmensen,20012002,NJD,L,2,0,0,0,0,--,5,4,1,0.8,2.95,20:19,0,0,0,0,0,1977,IA,USA,8,N,24
2790,Scott Clemmensen,20032004,NJD,L,4,4,3,1,0,--,84,80,4,0.952,1.01,237:48,2,0,0,0,0,1977,IA,USA,8,N,26
2901,Scott Clemmensen,20052006,NJD,L,13,9,3,4,--,2,295,260,35,0.881,3.35,626:31,0,0,0,0,0,1977,IA,USA,8,N,28
3331,Scott Clemmensen,20062007,NJD,L,6,4,1,1,--,2,144,128,16,0.889,3.14,305:29,0,0,0,0,0,1977,IA,USA,8,N,29
3461,Scott Clemmensen,20072008,TOR,L,3,2,1,1,--,0,62,52,10,0.839,3.89,154:20,0,0,0,0,0,1977,IA,USA,8,N,30
588,Scott Clemmensen,20082009,NJD,L,40,39,25,13,--,1,"1,138","1,044",94,0.917,2.39,2355:56,2,0,0,0,2,1977,IA,USA,8,N,31
2010,Scott Clemmensen,20092010,FLA,L,23,20,9,8,--,2,668,609,59,0.912,2.91,1215:21,1,0,0,0,0,1977,IA,USA,8,N,32
2147,Scott Clemmensen,20102011,FLA,L,31,25,8,11,--,7,833,759,74,0.911,2.62,1696:04,1,0,1,1,2,1977,IA,USA,8,N,33
1475,Scott Clemmensen,20112012,FLA,L,30,25,14,6,--,6,773,706,67,0.913,2.57,1565:52,1,0,1,1,0,1977,IA,USA,8,N,34
2922,Scott Clemmensen,20122013,FLA,L,19,11,3,7,--,2,421,368,53,0.874,3.67,866:25,0,0,0,0,0,1977,IA,USA,8,N,35
2418,Scott Clemmensen,20132014,FLA,L,17,14,6,7,--,1,454,407,47,0.896,3.08,914:11,0,0,1,1,0,1977,IA,USA,8,N,36
3826,Scott Clemmensen,20142015,NJD,L,3,1,0,0,--,1,54,46,8,0.852,4.73,101:35,0,0,0,0,0,1977,IA,USA,8,N,37
1991,Scott Darling,20142015,CHI,L,14,13,9,4,--,0,419,392,27,0.936,1.95,832:31,1,0,0,0,0,1988,VA,USA,6,N,26
1679,Scott Darling,20152016,CHI,L,29,24,12,8,--,4,784,717,67,0.915,2.58,1560:01,1,0,0,0,0,1988,VA,USA,6,N,27
1107,Scott Darling,20162017,CHI,L,32,27,18,5,--,5,877,810,67,0.924,2.38,1688:35,2,0,0,0,0,1988,VA,USA,6,N,28
1617,Scott Darling,20172018,CAR,L,43,40,13,21,--,7,"1,171","1,040",131,0.888,3.18,2475:07,0,0,0,0,2,1988,VA,USA,6,N,29
3076,Scott Darling,20182019,CAR,L,8,8,2,4,--,2,233,206,27,0.884,3.34,485:34,0,0,0,0,0,1988,VA,USA,6,N,30
3060,Scott Fankhouser,19992000,ATL,L,16,13,2,11,2,--,451,402,49,0.891,3.2,919:51,0,0,0,0,4,1975,ND,USA,11,N,24
3033,Scott Fankhouser,20002001,ATL,L,7,3,2,1,0,--,160,144,16,0.9,3.7,259:35,0,0,0,0,2,1975,ND,USA,11,N,25
3560,Scott Foster,20172018,CHI,L,1,0,0,0,--,0,7,7,0,1,0.0,14:01,0,0,0,0,0,1982,ON,CAN,--,N,35
3150,Scott Gordon,19891990,QUE,L,10,10,2,8,0,--,367,314,53,0.856,5.33,597:03,0,0,0,0,0,1963,MA,USA,--,N,26
3984,Scott Gordon,19901991,QUE,L,13,7,0,8,0,--,225,177,48,0.787,5.94,484:56,0,0,0,0,0,1963,MA,USA,--,N,27
3930,Scott King,19901991,DET,L,1,0,0,0,0,--,11,9,2,0.818,2.66,45:03,0,0,0,0,0,1967,ON,CAN,10,N,23
3964,Scott King,19911992,DET,L,1,0,0,0,0,--,5,4,1,0.8,3.65,16:26,0,0,0,0,0,1967,ON,CAN,10,N,24
3527,Scott Langkow,19951996,WIN,L,1,0,0,0,0,--,2,2,0,1,0.0,6:10,0,0,0,0,0,1975,AB,CAN,2,N,20
3890,Scott Langkow,19971998,PHX,L,3,2,0,1,1,--,60,50,10,0.833,4.39,136:44,0,0,0,0,0,1975,AB,CAN,2,N,22
3919,Scott Langkow,19981999,PHX,L,1,0,0,0,0,--,17,14,3,0.824,5.08,35:28,0,0,0,0,0,1975,AB,CAN,2,N,23
2947,Scott Langkow,19992000,ATL,L,15,13,3,11,0,--,395,340,55,0.861,4.31,765:07,0,0,0,0,0,1975,AB,CAN,2,N,24
2972,Scott Wedgewood,20152016,NJD,L,4,4,2,1,--,1,116,111,5,0.957,1.25,240:45,1,0,0,0,0,1992,ON,CAN,3,N,23
2549,Scott Wedgewood,20172018,ARI,L,20,17,5,9,--,4,587,524,63,0.893,3.45,1096:30,1,0,0,0,2,1992,ON,CAN,3,N,25
2847,Scott Wedgewood,20202021,NJD,L,16,15,3,8,--,3,458,412,46,0.9,3.11,888:02,2,0,0,0,0,1992,ON,CAN,3,N,28
1954,Sean Burke,19871988,NJD,L,13,12,10,1,0,--,300,265,35,0.883,3.05,688:00,1,0,1,1,6,1967,ON,CAN,2,N,20
840,Sean Burke,19881989,NJD,L,62,61,22,31,9,--,"1,816","1,586",230,0.873,3.84,3589:52,3,0,3,3,54,1967,ON,CAN,2,N,21
835,Sean Burke,19891990,NJD,L,52,49,22,22,6,--,"1,453","1,278",175,0.88,3.6,2913:38,0,0,1,1,38,1967,ON,CAN,2,N,22
2235,Sean Burke,19901991,NJD,L,35,29,8,12,8,--,875,763,112,0.872,3.59,1869:39,0,0,0,0,18,1967,ON,CAN,2,N,23
1361,Sean Burke,19921993,HFD,L,50,45,16,27,3,--,"1,485","1,301",184,0.876,4.16,2655:41,0,0,2,2,25,1967,ON,CAN,2,N,25
1221,Sean Burke,19931994,HFD,L,47,47,17,24,5,--,"1,458","1,321",137,0.906,2.99,2750:19,2,0,0,0,16,1967,ON,CAN,2,N,26
1209,Sean Burke,19941995,HFD,L,42,40,17,19,4,--,"1,233","1,125",108,0.912,2.68,2417:47,0,0,1,1,8,1967,ON,CAN,2,N,27
439,Sean Burke,19951996,HFD,L,66,63,28,28,6,--,"2,034","1,844",190,0.907,3.11,3668:58,4,0,6,6,16,1967,ON,CAN,2,N,28
777,Sean Burke,19961997,HFD,L,51,51,22,22,6,--,"1,560","1,426",134,0.914,2.69,2985:01,4,0,2,2,14,1967,ON,CAN,2,N,29
1332,Sean Burke,19971998,"CAR,VAN,PHI",L,52,47,16,23,9,--,"1,362","1,220",142,0.896,2.95,2884:42,2,0,2,2,20,1967,ON,CAN,2,N,30
884,Sean Burke,19981999,FLA,L,59,58,21,24,14,--,"1,624","1,473",151,0.907,2.66,3401:54,3,0,4,4,27,1967,ON,CAN,2,N,31
1038,Sean Burke,19992000,"FLA,PHX",L,42,41,19,19,3,--,"1,230","1,124",106,0.914,2.55,2492:31,3,0,0,0,12,1967,ON,CAN,2,N,32
583,Sean Burke,20002001,PHX,L,62,60,25,22,13,--,"1,767","1,629",138,0.922,2.27,3643:48,4,0,1,1,16,1967,ON,CAN,2,N,33
220,Sean Burke,20012002,PHX,L,60,59,33,21,6,--,"1,711","1,574",137,0.92,2.29,3586:46,5,0,1,1,14,1967,ON,CAN,2,N,34
1661,Sean Burke,20022003,PHX,L,22,22,12,6,2,--,632,588,44,0.93,2.11,1248:28,2,0,0,0,4,1967,ON,CAN,2,N,35
1306,Sean Burke,20032004,"PHX,PHI",L,47,42,16,20,7,--,"1,302","1,183",119,0.909,2.72,2620:17,2,0,2,2,8,1967,ON,CAN,2,N,36
1515,Sean Burke,20052006,TBL,L,35,27,14,10,--,4,764,684,80,0.895,2.8,1713:06,2,0,1,1,10,1967,ON,CAN,2,N,38
2403,Sean Burke,20062007,LAK,L,23,23,6,10,--,5,687,619,68,0.901,3.12,1309:42,1,0,1,1,4,1967,ON,CAN,2,N,39
3525,Sean Gauthier,19981999,SJS,L,1,0,0,0,0,--,2,2,0,1,0.0,3:29,0,0,0,0,0,1971,ON,CAN,9,N,27
2269,Sebastien Caron,20022003,PIT,L,24,23,7,14,2,--,741,679,62,0.916,2.64,1408:07,2,0,0,0,6,1980,QC,CAN,3,N,22
2080,Sebastien Caron,20032004,PIT,L,40,37,9,24,5,--,"1,179","1,041",138,0.883,3.74,2212:35,1,0,0,0,6,1980,QC,CAN,3,N,23
2222,Sebastien Caron,20052006,PIT,L,26,23,8,9,--,5,733,646,87,0.881,3.98,1312:18,1,0,1,1,0,1980,QC,CAN,3,N,25
3219,Sebastien Caron,20062007,"CHI,ANA",L,2,1,1,0,--,0,31,29,2,0.935,1.36,88:11,0,0,0,0,0,1980,QC,CAN,3,N,26
3373,Sebastien Caron,20112012,TBL,L,3,2,1,1,--,0,57,50,7,0.877,3.12,134:40,0,0,0,0,0,1980,QC,CAN,3,N,31
4024,Sebastien Centomo,20012002,TOR,L,1,0,0,0,0,--,12,9,3,0.75,4.5,40:00,0,0,0,0,0,1981,QC,CAN,--,N,20
3217,Sebastien Charpentier,20012002,WSH,L,2,2,1,1,0,--,78,73,5,0.936,2.46,121:53,0,0,0,0,0,1977,QC,CAN,4,N,24
2514,Sebastien Charpentier,20022003,WSH,L,17,12,5,7,1,--,426,386,40,0.906,2.79,858:58,0,0,0,0,0,1977,QC,CAN,4,N,25
3732,Sebastien Charpentier,20032004,WSH,L,7,6,0,6,0,--,168,147,21,0.875,3.41,369:13,0,0,0,0,0,1977,QC,CAN,4,N,26
2644,Semyon Varlamov,20082009,WSH,L,6,5,4,0,--,1,159,146,13,0.918,2.37,328:33,0,0,0,0,2,1988,--,RUS,1,N,20
1404,Semyon Varlamov,20092010,WSH,L,26,23,15,4,--,6,718,653,65,0.909,2.55,1527:26,2,0,1,1,0,1988,--,RUS,1,N,21
1772,Semyon Varlamov,20102011,WSH,L,27,25,11,9,--,5,759,701,58,0.924,2.23,1560:03,2,0,0,0,2,1988,--,RUS,1,N,22
539,Semyon Varlamov,20112012,COL,L,53,52,26,24,--,3,"1,564","1,428",136,0.913,2.59,3151:21,4,0,1,1,2,1988,--,RUS,1,N,23
1804,Semyon Varlamov,20122013,COL,L,35,33,11,21,--,3,"1,007",909,98,0.903,3.02,1949:39,3,0,1,1,0,1988,--,RUS,1,N,24
35,Semyon Varlamov,20132014,COL,L,63,60,41,14,--,6,"2,013","1,867",146,0.927,2.41,3639:46,2,0,3,3,2,1988,--,RUS,1,N,25
423,Semyon Varlamov,20142015,COL,L,57,57,28,20,--,8,"1,791","1,650",141,0.921,2.56,3306:50,5,0,0,0,4,1988,--,RUS,1,N,26
473,Semyon Varlamov,20152016,COL,L,57,57,27,25,--,3,"1,714","1,566",148,0.914,2.81,3159:25,2,0,0,0,6,1988,--,RUS,1,N,27
2413,Semyon Varlamov,20162017,COL,L,24,23,6,17,--,0,745,669,76,0.898,3.38,1347:47,1,0,1,1,0,1988,--,RUS,1,N,28
643,Semyon Varlamov,20172018,COL,L,51,47,24,16,--,6,"1,595","1,467",128,0.92,2.68,2861:03,2,0,0,0,2,1988,--,RUS,1,N,29
949,Semyon Varlamov,20182019,COL,L,49,49,20,19,--,9,"1,496","1,360",136,0.909,2.87,2839:12,2,0,0,0,2,1988,--,RUS,1,N,30
1037,Semyon Varlamov,20192020,NYI,L,45,39,19,14,--,6,"1,278","1,168",110,0.914,2.62,2517:19,2,0,0,0,0,1988,--,RUS,1,N,31
1015,Semyon Varlamov,20202021,NYI,L,36,35,19,11,--,4,"1,020",948,72,0.929,2.04,2116:56,7,0,1,1,2,1988,--,RUS,1,N,32
429,Sergei Bobrovsky,20102011,PHI,L,54,52,28,13,--,8,"1,527","1,397",130,0.915,2.59,3017:24,0,0,2,2,2,1988,--,RUS,--,N,22
1512,Sergei Bobrovsky,20112012,PHI,L,29,25,14,10,--,2,769,691,78,0.899,3.02,1550:05,0,0,0,0,0,1988,--,RUS,--,N,23
845,Sergei Bobrovsky,20122013,CBJ,L,38,37,21,11,--,6,"1,084","1,010",74,0.932,2.0,2218:57,4,0,0,0,0,1988,--,RUS,--,N,24
259,Sergei Bobrovsky,20132014,CBJ,L,58,58,32,20,--,5,"1,699","1,568",131,0.923,2.38,3299:26,5,0,1,1,2,1988,--,RUS,--,N,25
340,Sergei Bobrovsky,20142015,CBJ,L,51,49,30,17,--,3,"1,632","1,498",134,0.918,2.68,2994:26,2,0,2,2,4,1988,--,RUS,--,N,26
1406,Sergei Bobrovsky,20152016,CBJ,L,37,37,15,19,--,1,"1,049",952,97,0.908,2.75,2116:21,1,0,2,2,2,1988,--,RUS,--,N,27
33,Sergei Bobrovsky,20162017,CBJ,L,63,63,41,17,--,5,"1,854","1,727",127,0.931,2.06,3707:04,7,0,0,0,8,1988,--,RUS,--,N,28
101,Sergei Bobrovsky,20172018,CBJ,L,65,65,37,22,--,6,"1,993","1,835",158,0.921,2.42,3911:34,5,0,3,3,0,1988,--,RUS,--,N,29
109,Sergei Bobrovsky,20182019,CBJ,L,62,61,37,24,--,1,"1,756","1,603",153,0.913,2.58,3556:40,9,0,0,0,2,1988,--,RUS,--,N,30
733,Sergei Bobrovsky,20192020,FLA,L,50,49,23,19,--,6,"1,505","1,354",151,0.9,3.23,2805:59,1,0,0,0,0,1988,--,RUS,--,N,31
1054,Sergei Bobrovsky,20202021,FLA,L,31,30,19,8,--,2,935,847,88,0.906,2.91,1816:28,0,0,0,0,0,1988,--,RUS,--,N,32
3417,Sergei Mylnikov,19891990,QUE,L,10,10,1,7,2,--,329,282,47,0.857,4.97,567:58,0,0,0,0,0,1958,--,RUS,7,N,31
2005,Seth Martin,19671968,STL,L,30,26,9,10,7,--,780,713,67,0.914,2.6,1548:58,1,0,1,1,0,1933,BC,CAN,--,N,34
4084,Shawn Hunwick,20112012,CBJ,L,1,0,0,0,--,0,0,0,0,--,0.0,2:33,0,0,0,0,0,1987,MI,USA,--,N,24
3989,Shawn MacKenzie,19821983,NJD,L,6,1,0,1,0,--,68,53,15,0.779,6.92,130:08,0,0,0,0,0,1962,NS,CAN,8,N,20
3533,Simon Lajeunesse,20012002,OTT,L,1,0,0,0,0,--,9,9,0,1,0.0,23:30,0,0,0,0,0,1981,QC,CAN,2,N,20
2641,Spencer Knight,20202021,FLA,L,4,3,4,0,--,0,99,91,8,0.919,2.32,206:54,0,0,0,0,0,2001,CT,USA,1,N,19
3769,Spencer Martin,20162017,COL,L,3,3,0,2,--,1,96,83,13,0.865,4.35,179:26,0,0,0,0,0,1995,ON,CAN,3,N,21
2312,Stephane Beauregard,19891990,WIN,R,19,17,7,8,3,--,566,507,59,0.896,3.28,1078:58,0,0,0,0,4,1968,QC,CAN,3,N,21
2927,Stephane Beauregard,19901991,WIN,R,16,15,3,10,1,--,423,368,55,0.87,3.95,835:59,0,0,1,1,2,1968,QC,CAN,3,N,22
2406,Stephane Beauregard,19911992,WIN,R,26,18,6,8,6,--,611,550,61,0.9,2.89,1266:41,2,0,0,0,0,1968,QC,CAN,3,N,23
2951,Stephane Beauregard,19921993,PHI,R,16,14,3,9,0,--,405,346,59,0.854,4.41,801:54,0,0,1,1,0,1968,QC,CAN,3,N,24
3867,Stephane Beauregard,19931994,WIN,R,13,5,0,4,1,--,211,177,34,0.839,4.88,417:37,0,0,0,0,0,1968,QC,CAN,3,N,25
3905,Stephane Fiset,19891990,QUE,L,6,5,0,5,1,--,198,164,34,0.828,5.97,341:32,0,0,0,0,0,1970,QC,CAN,2,N,19
3627,Stephane Fiset,19901991,QUE,L,3,3,0,2,1,--,123,111,12,0.902,3.86,186:26,0,0,0,0,0,1970,QC,CAN,2,N,20
2321,Stephane Fiset,19911992,QUE,L,23,20,7,10,2,--,646,575,71,0.89,3.76,1133:19,1,0,0,0,6,1970,QC,CAN,2,N,21
1171,Stephane Fiset,19921993,QUE,L,37,30,18,9,4,--,945,835,110,0.884,3.4,1939:11,0,0,2,2,2,1970,QC,CAN,2,N,22
990,Stephane Fiset,19931994,QUE,L,50,49,20,25,4,--,"1,434","1,276",158,0.89,3.39,2798:16,2,0,3,3,8,1970,QC,CAN,2,N,23
1212,Stephane Fiset,19941995,QUE,L,32,30,17,10,3,--,968,881,87,0.91,2.78,1878:36,2,0,3,3,2,1970,QC,CAN,2,N,24
806,Stephane Fiset,19951996,COL,L,37,35,22,6,7,--,"1,012",909,103,0.898,2.93,2106:38,1,0,1,1,2,1970,QC,CAN,2,N,25
1574,Stephane Fiset,19961997,LAK,L,44,42,13,24,5,--,"1,410","1,278",132,0.906,3.19,2482:15,4,0,0,0,2,1970,QC,CAN,2,N,26
544,Stephane Fiset,19971998,LAK,L,60,59,26,25,8,--,"1,728","1,570",158,0.909,2.71,3496:43,2,0,1,1,8,1970,QC,CAN,2,N,27
1126,Stephane Fiset,19981999,LAK,L,42,41,18,21,1,--,"1,217","1,113",104,0.915,2.6,2402:40,3,0,0,0,2,1970,QC,CAN,2,N,28
968,Stephane Fiset,19992000,LAK,L,47,43,20,15,7,--,"1,208","1,089",119,0.901,2.75,2591:47,1,0,2,2,4,1970,QC,CAN,2,N,29
2954,Stephane Fiset,20002001,LAK,L,7,7,3,0,1,--,129,110,19,0.853,3.58,318:20,0,0,0,0,2,1970,QC,CAN,2,N,30
3696,Stephane Fiset,20012002,MTL,L,2,1,0,1,0,--,60,53,7,0.883,3.85,109:02,0,0,0,0,0,1970,QC,CAN,2,N,31
2082,Steve Baker,19791980,NYR,L,27,23,9,8,6,--,667,588,79,0.882,3.41,1389:01,1,0,0,0,2,1957,MA,USA,3,N,22
1957,Steve Baker,19801981,NYR,L,21,21,10,6,5,--,609,536,73,0.88,3.49,1256:20,2,0,0,0,5,1957,MA,USA,3,N,23
3494,Steve Baker,19811982,NYR,L,6,6,1,5,0,--,161,128,33,0.795,6.03,328:19,0,0,0,0,0,1957,MA,USA,3,N,24
3708,Steve Baker,19821983,NYR,L,3,1,0,1,0,--,42,37,5,0.881,2.98,100:46,0,0,0,0,0,1957,MA,USA,3,N,25
3842,Steve Guenette,19861987,PIT,L,2,1,0,2,0,--,52,44,8,0.846,4.3,111:35,0,0,0,0,0,1965,ON,CAN,--,N,21
1727,Steve Guenette,19871988,PIT,L,19,17,12,7,0,--,582,521,61,0.895,3.35,1091:05,1,0,0,0,2,1965,ON,CAN,--,N,22
2598,Steve Guenette,19881989,PIT,L,11,10,5,6,0,--,308,267,41,0.867,4.29,573:53,0,0,1,1,0,1965,ON,CAN,--,N,23
3459,Steve Guenette,19891990,CGY,L,2,2,1,1,0,--,50,42,8,0.84,4.02,119:20,0,0,0,0,2,1965,ON,CAN,--,N,24
3396,Steve Guenette,19901991,CGY,L,1,1,1,0,0,--,30,26,4,0.867,4.0,60:00,0,0,0,0,0,1965,ON,CAN,--,N,25
3585,Steve Janaszek,19791980,MNS,L,1,1,0,0,1,--,28,26,2,0.929,2.0,60:00,0,0,0,0,0,1957,MN,USA,--,N,22
3797,Steve Janaszek,19811982,CLR,L,2,1,0,1,0,--,91,78,13,0.857,7.8,100:00,0,0,0,0,0,1957,MN,USA,--,N,24
232,Steve Mason,20082009,CBJ,R,61,61,33,20,--,7,"1,658","1,518",140,0.916,2.29,3663:37,10,0,0,0,2,1988,ON,CAN,3,N,20
970,Steve Mason,20092010,CBJ,R,58,55,20,26,--,9,"1,653","1,490",163,0.901,3.05,3202:09,5,0,2,2,2,1988,ON,CAN,3,N,21
669,Steve Mason,20102011,CBJ,R,54,53,24,21,--,7,"1,541","1,388",153,0.901,3.03,3026:30,3,0,1,1,2,1988,ON,CAN,3,N,22
1334,Steve Mason,20112012,CBJ,R,46,45,16,26,--,3,"1,355","1,212",143,0.894,3.39,2533:41,1,0,2,2,2,1988,ON,CAN,3,N,23
2270,Steve Mason,20122013,"CBJ,PHI",R,20,17,7,8,--,1,561,514,47,0.916,2.59,1090:09,0,0,1,1,0,1988,ON,CAN,3,N,24
230,Steve Mason,20132014,PHI,R,61,60,33,18,--,7,"1,751","1,606",145,0.917,2.5,3485:36,4,0,1,1,10,1988,ON,CAN,3,N,25
1105,Steve Mason,20142015,PHI,R,51,48,18,18,--,11,"1,490","1,382",108,0.928,2.25,2885:23,3,0,3,3,2,1988,ON,CAN,3,N,26
697,Steve Mason,20152016,PHI,R,54,53,23,19,--,10,"1,602","1,470",132,0.918,2.51,3150:26,4,0,0,0,2,1988,ON,CAN,3,N,27
548,Steve Mason,20162017,PHI,R,58,54,26,21,--,8,"1,556","1,413",143,0.908,2.66,3224:37,3,0,1,1,0,1988,ON,CAN,3,N,28
2518,Steve Mason,20172018,WPG,R,13,12,5,6,--,1,392,355,37,0.906,3.24,684:53,1,0,1,1,0,1988,ON,CAN,3,N,29
4018,Steve McKichan,19901991,VAN,L,1,0,0,0,0,--,8,6,2,0.75,6.0,20:00,0,0,0,0,0,1967,ON,CAN,--,N,23
