,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
1989,Jacques Cloutier,19821983,BUF,L,25,24,10,7,6,--,572,491,81,0.858,3.5,1387:13,0,0,0,0,0,1960,QC,CAN,3,N,22
3664,Jacques Cloutier,19841985,BUF,L,1,1,0,0,1,--,37,33,4,0.892,3.69,65:00,0,0,1,1,0,1960,QC,CAN,3,N,24
2567,Jacques Cloutier,19851986,BUF,L,15,15,5,9,1,--,425,377,48,0.887,3.32,867:09,1,0,2,2,2,1960,QC,CAN,3,N,25
1856,Jacques Cloutier,19861987,BUF,L,40,33,11,19,5,--,"1,037",901,136,0.869,3.78,2156:24,0,0,2,2,10,1960,QC,CAN,3,N,26
2765,Jacques Cloutier,19871988,BUF,L,20,13,4,8,2,--,447,380,67,0.85,4.75,847:11,0,0,0,0,11,1960,QC,CAN,3,N,27
1453,Jacques Cloutier,19881989,BUF,L,36,28,15,14,0,--,856,748,108,0.874,3.63,1785:59,0,0,2,2,6,1960,QC,CAN,3,N,28
1178,Jacques Cloutier,19891990,CHI,L,43,33,18,15,2,--,929,817,112,0.879,3.09,2178:16,2,0,0,0,8,1960,QC,CAN,3,N,29
2582,Jacques Cloutier,19901991,"CHI,QUE",L,25,20,5,11,2,--,701,616,85,0.879,4.14,1231:53,0,0,0,0,6,1960,QC,CAN,3,N,30
2451,Jacques Cloutier,19911992,QUE,L,26,19,6,14,3,--,712,624,88,0.876,3.93,1345:00,0,0,0,0,6,1960,QC,CAN,3,N,31
3840,Jacques Cloutier,19921993,QUE,L,3,2,0,2,1,--,65,55,10,0.846,3.89,154:23,0,0,0,0,0,1960,QC,CAN,3,N,32
2857,Jacques Cloutier,19931994,QUE,L,14,4,3,2,1,--,232,208,24,0.897,3.03,475:18,0,0,0,0,2,1960,QC,CAN,3,N,33
3185,Jacques Plante,19521953,MTL,L,3,3,2,0,1,--,--,--,4,--,1.33,180:00,0,0,0,0,0,1929,QC,CAN,--,Y,23
2358,Jacques Plante,19531954,MTL,L,17,17,7,5,5,--,--,--,24,--,1.41,1020:00,5,0,0,0,0,1929,QC,CAN,--,Y,24
252,Jacques Plante,19541955,MTL,L,52,52,33,12,7,--,--,--,109,--,2.12,3079:00,5,0,0,0,2,1929,QC,CAN,--,Y,25
21,Jacques Plante,19551956,MTL,L,64,64,42,12,10,--,"1,714","1,595",119,0.931,1.86,3840:00,7,0,0,0,10,1929,QC,CAN,--,Y,26
294,Jacques Plante,19561957,MTL,L,61,61,31,18,12,--,"1,523","1,401",122,0.92,2.0,3658:00,9,0,0,0,16,1929,QC,CAN,--,Y,27
181,Jacques Plante,19571958,MTL,L,57,57,34,14,8,--,"1,561","1,442",119,0.924,2.11,3386:15,9,0,0,0,13,1929,QC,CAN,--,Y,28
76,Jacques Plante,19581959,MTL,L,67,67,38,16,13,--,"1,924","1,780",144,0.925,2.16,4000:00,9,0,1,1,11,1929,QC,CAN,--,Y,29
49,Jacques Plante,19591960,MTL,L,69,69,40,17,12,--,"2,058","1,883",175,0.915,2.54,4140:00,3,0,0,0,2,1929,QC,CAN,--,Y,30
725,Jacques Plante,19601961,MTL,L,40,40,23,11,6,--,"1,168","1,056",112,0.904,2.8,2400:00,2,0,0,0,2,1929,QC,CAN,--,Y,31
25,Jacques Plante,19611962,MTL,L,70,70,42,14,14,--,"2,160","1,994",166,0.923,2.37,4200:00,4,0,0,0,14,1929,QC,CAN,--,Y,32
783,Jacques Plante,19621963,MTL,L,56,56,22,14,19,--,"1,566","1,428",138,0.912,2.49,3320:00,5,0,1,1,2,1929,QC,CAN,--,Y,33
788,Jacques Plante,19631964,NYR,L,65,65,22,36,7,--,"2,444","2,224",220,0.91,3.39,3897:45,3,0,1,1,6,1929,QC,CAN,--,Y,34
1909,Jacques Plante,19641965,NYR,L,33,33,10,17,5,--,"1,117","1,008",109,0.902,3.38,1937:40,2,0,1,1,6,1929,QC,CAN,--,Y,35
1100,Jacques Plante,19681969,STL,L,37,35,18,12,6,--,"1,173","1,103",70,0.94,1.96,2138:11,5,0,0,0,2,1929,QC,CAN,--,Y,39
1115,Jacques Plante,19691970,STL,L,32,32,18,9,5,--,817,750,67,0.918,2.19,1837:42,5,0,2,2,0,1929,QC,CAN,--,Y,40
634,Jacques Plante,19701971,TOR,L,40,40,24,11,4,--,"1,297","1,224",73,0.944,1.89,2323:04,4,0,0,0,2,1929,QC,CAN,--,Y,41
1290,Jacques Plante,19711972,TOR,L,34,34,16,13,5,--,"1,032",946,86,0.917,2.63,1962:05,2,0,0,0,2,1929,QC,CAN,--,Y,42
1400,Jacques Plante,19721973,"TOR,BOS",L,40,37,15,15,6,--,"1,158","1,055",103,0.911,2.82,2193:26,3,0,2,2,2,1929,QC,CAN,--,Y,43
2029,Jake Allen,20122013,STL,L,15,13,9,4,--,0,346,313,33,0.905,2.46,803:53,1,0,0,0,0,1990,NB,CAN,2,N,22
779,Jake Allen,20142015,STL,L,37,32,22,7,--,4,909,830,79,0.913,2.28,2077:02,4,0,2,2,2,1990,NB,CAN,2,N,24
526,Jake Allen,20152016,STL,L,47,44,26,15,--,3,"1,260","1,159",101,0.92,2.35,2583:22,6,0,0,0,0,1990,NB,CAN,2,N,25
233,Jake Allen,20162017,STL,L,61,60,33,20,--,5,"1,620","1,482",138,0.915,2.42,3418:19,4,0,1,1,4,1990,NB,CAN,2,N,26
488,Jake Allen,20172018,STL,L,59,56,27,25,--,3,"1,614","1,462",152,0.906,2.75,3316:58,1,0,1,1,0,1990,NB,CAN,2,N,27
1057,Jake Allen,20182019,STL,L,46,45,19,17,--,8,"1,277","1,156",121,0.905,2.83,2567:57,3,0,0,0,0,1990,NB,CAN,2,N,28
1665,Jake Allen,20192020,STL,L,24,21,12,6,--,3,655,607,48,0.927,2.15,1339:04,2,0,0,0,0,1990,NB,CAN,2,N,29
1798,Jake Allen,20202021,MTL,L,29,27,11,12,--,5,817,741,76,0.907,2.68,1702:36,0,0,0,0,2,1990,NB,CAN,2,N,30
1787,Jake Oettinger,20202021,DAL,L,29,24,11,8,--,7,710,647,63,0.911,2.36,1604:08,1,0,1,1,4,1998,MN,USA,1,N,22
934,James Reimer,20102011,TOR,L,37,35,20,10,--,5,"1,134","1,044",90,0.921,2.6,2080:12,3,0,1,1,2,1988,MB,CAN,4,N,22
1507,James Reimer,20112012,TOR,L,34,34,14,14,--,4,974,877,97,0.9,3.1,1879:15,3,0,0,0,0,1988,MB,CAN,4,N,23
1022,James Reimer,20122013,TOR,L,33,31,19,8,--,5,995,919,76,0.924,2.46,1856:09,4,0,1,1,0,1988,MB,CAN,4,N,24
1690,James Reimer,20132014,TOR,L,36,32,12,16,--,1,"1,095",997,98,0.911,3.29,1784:39,1,0,0,0,2,1988,MB,CAN,4,N,25
2021,James Reimer,20142015,TOR,L,35,27,9,16,--,1,"1,001",908,93,0.907,3.16,1766:53,0,0,0,0,2,1988,MB,CAN,4,N,26
1194,James Reimer,20152016,"TOR,SJS",L,40,37,17,14,--,7,"1,128","1,040",88,0.922,2.31,2290:27,3,0,0,0,0,1988,MB,CAN,4,N,27
1112,James Reimer,20162017,FLA,L,43,39,18,16,--,5,"1,222","1,124",98,0.92,2.53,2324:35,3,0,0,0,2,1988,MB,CAN,4,N,28
781,James Reimer,20172018,FLA,L,44,42,22,14,--,6,"1,373","1,253",120,0.913,2.99,2411:25,4,0,1,1,4,1988,MB,CAN,4,N,29
1590,James Reimer,20182019,FLA,L,36,29,13,12,--,5,929,836,93,0.9,3.09,1805:11,0,0,0,0,0,1988,MB,CAN,4,N,30
1472,James Reimer,20192020,CAR,L,25,24,14,6,--,2,712,651,61,0.914,2.66,1378:01,3,0,0,0,2,1988,MB,CAN,4,N,31
1411,James Reimer,20202021,CAR,L,22,21,15,5,--,2,627,568,59,0.906,2.66,1331:06,0,0,0,0,0,1988,MB,CAN,4,N,32
4063,James Stewart Jr,19791980,BOS,L,1,1,0,1,0,--,9,4,5,0.444,15.0,20:00,0,0,0,0,0,1957,MA,USA,--,N,22
2160,Jamie McLennan,19931994,NYI,L,22,19,8,7,6,--,639,578,61,0.905,2.84,1287:17,0,0,1,1,6,1971,AB,CAN,3,N,22
2455,Jamie McLennan,19941995,NYI,L,21,18,6,11,2,--,539,472,67,0.876,3.39,1185:16,0,0,0,0,2,1971,AB,CAN,3,N,23
2886,Jamie McLennan,19951996,NYI,L,13,12,3,9,1,--,342,303,39,0.886,3.68,636:26,0,0,0,0,2,1971,AB,CAN,3,N,24
1316,Jamie McLennan,19971998,STL,L,30,26,16,8,2,--,618,558,60,0.903,2.17,1658:13,2,0,0,0,4,1971,AB,CAN,3,N,26
1611,Jamie McLennan,19981999,STL,L,33,30,13,14,4,--,640,570,70,0.891,2.38,1762:53,3,0,0,0,0,1971,AB,CAN,3,N,27
2034,Jamie McLennan,19992000,STL,L,19,16,9,5,2,--,341,308,33,0.903,1.96,1008:56,2,0,0,0,2,1971,AB,CAN,3,N,28
2520,Jamie McLennan,20002001,MIN,L,38,37,5,23,9,--,"1,032",934,98,0.905,2.64,2230:22,2,0,1,1,4,1971,AB,CAN,3,N,29
3056,Jamie McLennan,20022003,CGY,L,22,17,2,11,4,--,537,479,58,0.892,2.99,1164:53,0,0,0,0,14,1971,AB,CAN,3,N,31
1577,Jamie McLennan,20032004,"CGY,NYR",L,30,28,13,12,3,--,684,619,65,0.905,2.31,1689:59,4,0,1,1,4,1971,AB,CAN,3,N,32
3021,Jamie McLennan,20052006,FLA,L,17,9,2,4,--,2,360,326,34,0.906,3.01,677:50,0,0,0,0,0,1971,AB,CAN,3,N,34
2863,Jamie McLennan,20062007,CGY,L,9,8,3,5,--,1,304,272,32,0.895,3.6,532:40,0,0,0,0,16,1971,AB,CAN,3,N,35
3526,Jamie Ram,19951996,NYR,L,1,0,0,0,0,--,9,9,0,1,0.0,26:58,0,0,0,0,0,1971,ON,CAN,10,N,24
3334,Jamie Storr,19941995,LAK,L,5,5,1,3,1,--,152,135,17,0.888,3.87,263:20,0,0,0,0,0,1975,ON,CAN,1,N,19
2809,Jamie Storr,19951996,LAK,L,5,5,3,1,0,--,147,135,12,0.918,2.75,261:42,0,0,0,0,0,1975,ON,CAN,1,N,20
2991,Jamie Storr,19961997,LAK,L,5,4,2,1,1,--,147,136,11,0.925,2.49,264:37,0,0,0,0,0,1975,ON,CAN,1,N,21
1993,Jamie Storr,19971998,LAK,L,17,14,9,5,1,--,482,448,34,0.929,2.22,919:48,2,0,0,0,0,1975,ON,CAN,1,N,22
1676,Jamie Storr,19981999,LAK,L,28,26,12,12,2,--,724,663,61,0.916,2.4,1524:51,4,0,1,1,6,1975,ON,CAN,1,N,23
1139,Jamie Storr,19992000,LAK,L,42,38,18,15,5,--,"1,008",915,93,0.908,2.53,2205:33,1,0,1,1,4,1975,ON,CAN,1,N,24
1067,Jamie Storr,20002001,LAK,L,45,41,19,18,6,--,"1,131","1,017",114,0.899,2.74,2497:30,4,0,0,0,4,1975,ON,CAN,1,N,25
1995,Jamie Storr,20012002,LAK,L,19,12,9,4,3,--,360,332,28,0.922,1.9,886:27,2,0,0,0,4,1975,ON,CAN,1,N,26
1703,Jamie Storr,20022003,LAK,L,39,33,12,19,2,--,904,818,86,0.905,2.55,2027:26,3,0,1,1,8,1975,ON,CAN,1,N,27
3722,Jamie Storr,20032004,CAR,L,14,8,0,8,2,--,262,230,32,0.878,2.91,660:21,0,0,0,0,0,1975,ON,CAN,1,N,28
3734,Jan Lasak,20012002,NSH,L,3,3,0,3,0,--,104,91,13,0.875,4.4,177:13,0,0,0,0,2,1979,--,SVK,2,N,22
3743,Jan Lasak,20022003,NSH,L,3,1,0,1,0,--,39,34,5,0.872,3.32,90:24,0,0,0,0,0,1979,--,SVK,2,N,23
3310,Jani Hurme,19992000,OTT,L,1,1,1,0,0,--,19,17,2,0.895,2.0,60:00,0,0,0,0,0,1975,--,FIN,3,N,24
1705,Jani Hurme,20002001,OTT,L,22,21,12,5,4,--,563,509,54,0.904,2.5,1296:14,2,0,0,0,0,1975,--,FIN,3,N,25
1700,Jani Hurme,20012002,OTT,L,25,22,12,9,1,--,578,524,54,0.907,2.48,1308:39,3,0,0,0,17,1975,--,FIN,3,N,26
2666,Jani Hurme,20022003,FLA,L,28,20,4,11,6,--,707,641,66,0.907,2.88,1376:02,1,0,0,0,2,1975,--,FIN,3,N,27
2568,Jared Coreau,20162017,DET,L,14,14,5,4,--,3,362,321,41,0.887,3.46,711:40,2,0,0,0,0,1991,ON,CAN,--,N,25
3760,Jared Coreau,20172018,DET,L,7,7,0,5,--,1,203,176,27,0.867,4.26,380:26,0,0,0,0,0,1991,ON,CAN,--,N,26
3181,Jari Kaarela,19801981,CLR,L,5,4,2,2,0,--,115,93,22,0.809,6.0,220:00,0,0,0,0,2,1958,--,FIN,--,N,22
3457,Jarmo Myllys,19881989,MNS,L,6,3,1,4,0,--,138,116,22,0.841,5.55,237:42,0,0,0,0,0,1965,--,FIN,9,N,23
3955,Jarmo Myllys,19891990,MNS,L,4,3,0,3,0,--,82,66,16,0.805,6.15,156:11,0,0,0,0,0,1965,--,FIN,9,N,24
3789,Jarmo Myllys,19901991,MNS,L,2,2,0,2,0,--,57,49,8,0.86,6.12,78:27,0,0,0,0,2,1965,--,FIN,9,N,25
2936,Jarmo Myllys,19911992,SJS,L,27,22,3,18,1,--,862,747,115,0.867,5.02,1373:39,0,0,1,1,2,1965,--,FIN,9,N,26
1900,Jaroslav Halak,20062007,MTL,L,16,16,10,6,--,0,469,425,44,0.906,2.89,912:04,2,0,1,1,2,1985,--,SVK,9,N,21
2984,Jaroslav Halak,20072008,MTL,L,6,4,2,1,--,1,151,141,10,0.934,2.11,284:40,1,0,0,0,0,1985,--,SVK,9,N,22
1125,Jaroslav Halak,20082009,MTL,L,34,33,18,14,--,1,"1,077",985,92,0.915,2.86,1930:48,1,0,0,0,0,1985,--,SVK,9,N,23
523,Jaroslav Halak,20092010,MTL,L,45,43,26,13,--,5,"1,386","1,281",105,0.924,2.4,2629:56,5,0,0,0,0,1985,--,SVK,9,N,24
481,Jaroslav Halak,20102011,STL,L,57,57,27,21,--,7,"1,518","1,382",136,0.91,2.48,3294:22,7,0,0,0,6,1985,--,SVK,9,N,25
520,Jaroslav Halak,20112012,STL,L,46,46,26,12,--,7,"1,211","1,121",90,0.926,1.97,2746:37,6,0,0,0,0,1985,--,SVK,9,N,26
2411,Jaroslav Halak,20122013,STL,L,16,15,6,5,--,1,286,257,29,0.899,2.14,812:35,3,0,1,1,0,1985,--,SVK,9,N,27
382,Jaroslav Halak,20132014,"STL,WSH",L,52,50,29,13,--,7,"1,385","1,275",110,0.921,2.25,2938:54,5,0,1,1,0,1985,--,SVK,9,N,28
83,Jaroslav Halak,20142015,NYI,L,59,59,38,17,--,4,"1,673","1,529",144,0.914,2.43,3549:57,6,0,1,1,2,1985,--,SVK,9,N,29
1114,Jaroslav Halak,20152016,NYI,L,36,36,18,13,--,4,984,904,80,0.919,2.3,2091:11,3,0,1,1,0,1985,--,SVK,9,N,30
